Rule,Yes Ratio,Rule,Yes Ratio
rule1,0.9299492385786802,rule1,0.9192872117400419
rule2,0.5147208121827411,rule2,0.5681341719077568
rule3,0.2263959390862944,rule3,0.20964360587002095
rule4,0.6071065989847716,rule4,0.3522012578616352
rule5,0.8771573604060914,rule5,0.8763102725366876
rule6,0.16852791878172588,rule6,0.1740041928721174
rule7,0.8101522842639594,rule7,0.7987421383647799
rule8,0.5441624365482234,rule8,0.4224318658280922
rule9,0.3187817258883249,rule9,0.4758909853249476
rule10,0.23756345177664975,rule10,0.25471698113207547
rule11,0.915736040609137,rule11,0.9213836477987422
rule12,0.46802030456852795,rule12,0.6540880503144654
rule13,0.30456852791878175,rule13,0.2379454926624738
rule14,0.09543147208121827,rule14,0.30712788259958074
rule15,0.0883248730964467,rule15,0.1509433962264151
rule16,0.37969543147208124,rule16,0.48218029350104824
rule17,0.6761421319796954,rule17,0.7830188679245284
rule18,0.5776649746192893,rule18,0.7127882599580713
rule19,0.46091370558375633,rule19,0.44339622641509435
rule20,0.2862944162436548,rule20,0.40041928721174
rule21,0.1746192893401015,rule21,0.30922431865828093
rule22,0.10558375634517767,rule22,0.18029350104821804
rule23,0.22233502538071065,rule23,0.3165618448637317
rule24,0.531979695431472,rule24,0.6415094339622641
rule25,0.5868020304568528,rule25,0.6781970649895178
rule26,0.6355329949238578,rule26,0.5366876310272537
rule27,0.48934010152284263,rule27,0.35744234800838576
rule28,0.3248730964467005,rule28,0.18658280922431866
rule29,0.6111675126903553,rule29,0.5052410901467506
rule30,0.7949238578680203,rule30,0.7945492662473794
rule31,0.500507614213198,rule31,0.3584905660377358
