Rule,High Yes Ratio,Rule,Low Yes Ratio
rule1,0.9117465542069533,rule1,0.8639246981788419
rule2,0.5173832544743879,rule2,0.49560057294863924
rule3,0.2170335321950216,rule3,0.19152854511970535
rule4,0.5132688747171363,rule4,0.30366277880090037
rule5,0.7951038880888706,rule5,0.8009003478616739
rule6,0.1287800864019749,rule6,0.13832617147534274
rule7,0.7298909689364328,rule7,0.7178227951708614
rule8,0.4671878214359185,rule8,0.29670554532432986
rule9,0.39909483645340466,rule9,0.5854307346020053
rule10,0.17794692450113145,rule10,0.19030079803560468
rule11,0.91627237193993,rule11,0.8950276243093923
rule12,0.598642254680107,rule12,0.7372621240024555
rule13,0.29973256531577863,rule13,0.27399222426846737
rule14,0.1633408763628883,rule14,0.3010026601186822
rule15,0.0800246862785435,rule15,0.1555146306527522
rule16,0.40650072001645754,rule16,0.43380396971557195
rule17,0.732771034766509,rule17,0.7837118886842643
rule18,0.682781320715902,rule18,0.736852874974422
rule19,0.5068915860933965,rule19,0.33128708819316555
rule20,0.30672701090310633,rule20,0.5172907714344178
rule21,0.1594322155934993,rule21,0.3050951503990178
rule22,0.09421929644106151,rule22,0.22181297319418866
rule23,0.29870397037646573,rule23,0.33046859013709845
rule24,0.6428718370705616,rule24,0.6617556783302639
rule25,0.691627237193993,rule25,0.6899938612645795
rule26,0.6019337584859082,rule26,0.49744219357479025
rule27,0.44661592264966055,rule27,0.26151012891344383
rule28,0.3447850236576836,rule28,0.19050542254962144
rule29,0.6992388397449084,rule29,0.5889093513402905
rule30,0.8500308578481793,rule30,0.7736852874974421
rule31,0.4817938695741617,rule31,0.3298547165950481
