Rule,High Ratio,Low Ratio
rule1,0.946,0.851
rule2,0.499,0.283
rule3,0.294,0.366
rule4,0.575,0.429
rule5,0.839,0.81
rule6,0.083,0.07
rule7,0.778,0.764
rule8,0.476,0.249
rule9,0.422,0.605
rule10,0.208,0.279
rule11,0.938,0.855
rule12,0.663,0.731
rule13,0.516,0.423
rule14,0.128,0.261
rule15,0.108,0.194
rule16,0.256,0.353
rule17,0.682,0.706
rule18,0.641,0.684
rule19,0.47,0.214
rule20,0.343,0.581
rule21,0.105,0.286
rule22,0.058,0.224
rule23,0.255,0.326
rule24,0.61,0.602
rule25,0.689,0.651
rule26,0.639,0.536
rule27,0.419,0.272
rule28,0.288,0.248
rule29,0.785,0.694
rule30,0.906,0.78
rule31,0.49,0.359
